COURSE_SUBJECT,COURSE_NUMBER,SECTION_NUMBER,SECTION_CRN,SECTION_TITLE,SECTION_CREDIT_HOURS,MEET_DAYS,MEET_TIMES,MEET_BUILDING,MEET_ROOM,INSTRUCTOR,INSTRUCTOR2,INSTRUCTOR3,FOOTNOTES,FOOTNOTES1,FOOTNOTES2,FOOTNOTES3,FOOTNOTES4,NOTE1,NOTE2,NOTE3,NOTE4,COURSE_ATTRIBUTES,COURSE_ATTRIBUTES1,COURSE_ATTRIBUTES2,COURSE_ATTRIBUTES3,COURSE_ATTRIBUTES4,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,DESCRIPTION4,MAX_ENROLL,CURR_ENROLL,REMAINING,MAJOR_CODE
AFR,101,0,10001,Intro to Africana Studies,1,  T  R  ,0940 - 1055am,CHAM,2130,Bertholf G,,, ,,,,,,,,,CULT LBRQ,CULT,LBRQ,,,Cultural Diversity,Liberal Studies (Class of 2020 and earlier),,,30,28,2,AFR
AFR,101,0,15780,Intro to Africana Studies,1,  T  R  ,0940 - 1055am,CHAM,1006,Benson D,,, ,,,,,,,,,CULT LBRQ,CULT,LBRQ,,,Cultural Diversity,Liberal Studies (Class of 2020 and earlier),,,29,30,-1,AFR
AFR,120,0,25787,Afro-Latin America,1,  T  R  ,0940 - 1055am,CHAM,HANCE,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LBRQ,CULT,LBRQ,,,Cultural Diversity,Liberal Studies (Class of 2020 and earlier),,,15,14,1,AFR
AFR,120,0,25787,Afro-Latin America,1,  T  R  ,0940 - 1055am,CHAM,HANCE,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT LBRQ,CULT,LBRQ,,,Cultural Diversity,Liberal Studies (Class of 2020 and earlier),,,15,14,1,LAS
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T  R  ,0940 - 1055am,CHAM,3198,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,1,-1,AFR
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T  R  ,0940 - 1055am,CHAM,3198,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,1,-1,LAS
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T    ,0140 - 0420pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,7,7,0,AFR
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T    ,0140 - 0420pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,7,7,0,LAS
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T    ,0140 - 0420pm,CHAM,2084,Benson D,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,7,7,0,HIS
AFR,235,0,25625,The 1959 Cuban Revolution,1,  T  R  ,0940 - 1055am,CHAM,3198,Benson D,,,"XLST,PRM",XLST,PRM,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",Permission of instructor required,,,CULT HTRQ,CULT,HTRQ,,,Cultural Diversity,Historical Thought (Class of 2016 and later),,,0,1,-1,HIS
AFR,250,0,25846,Black Women in Contemp Perform,1, M  W  F ,1030 - 1120am,CHAM,2068,Amin T,,, ,,,,,,,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,30,17,13,DAN
AFR,250,0,25846,Black Women in Contemp Perform,1, M  W  F ,1030 - 1120am,CHAM,2068,Amin T,,, ,,,,,,,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,30,17,13,AFR
AFR,250,0,25846,Black Women in Contemp Perform,1, M  W  F ,1030 - 1120am,CHAM,2068,Amin T,,, ,,,,,,,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,30,17,13,GSS
AFR,251,0,16386,"Thugs,Jezebels,&Contemp Pol",1,  T  R  ,1215 - 0130pm,CHAM,3209,Dennie N,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,20,20,0,AFR
AFR,251,0,16386,"Thugs,Jezebels,&Contemp Pol",1,  T  R  ,1215 - 0130pm,CHAM,3209,Dennie N,,, ,,,,,,,,,HTRQ JEC,HTRQ,JEC,,,Historical Thought (Class of 2016 and later),"Justice, Equality, Community",,,20,20,0,GSS
AFR,266,0,25691,Africa Shoots Back (in transl),1,  T  R  ,1215 - 0130pm,CHAM,1062,Fache C,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,9,10,-1,FMS
AFR,266,0,25691,Africa Shoots Back (in transl),1,  T  R  ,1215 - 0130pm,CHAM,1062,Fache C,,,XLST,XLST,,,,"Crosslisted; use the CRN for the course given as ""REG for"" (registration will be changed later if needed.)",,,,CULT VPRQ,CULT,VPRQ,,,Cultural Diversity,Visual and Performing Arts (Class of 2016 and later),,,9,10,-1,FRE
